Oil Pipeline Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Interstate Commerce Committee regulated oil pipelines in the 1960s and 1970s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-2001: Eno Transportation Foundation, Inc., Transportation In America 2002 (Washington, DC: 2002), pp. 38 and 39, and similar tables in earlier editions. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-2021: PennWell Corporation, Oil and Gas Journal: Transportation Special Report (Houston, TX), pp. 50 and similar table in earlier editions. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline operators:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As cited in U.S. Department of Transportation, Bureau of Transportation Statistics, National Transportation Statistics, Table 1-2, available at https://www.bts.gov/. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of employees, pipeline companies:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-80: U.S. Department of Labor, Bureau of Labor Statistics, Employment, Hours and Earnings, United States, 1909-94 (Washington, DC:  September 1994), SIC 46.    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-1994: U.S. Department of Labor, Bureau of Labor Statistics, Hours and Earnings, United States, 1988-1996 (Washington, DC: July 1996), SIC 46.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2001: U.S. Department of Labor, Bureau of Labor Statistics, Occupational Employment Statistics, SIC 46, as of Feb. 22, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-21: U.S. Department of Labor, Bureau of Labor Statistics, Occupational Employment Statistics, available at http://www.bls.gov/oes/oes_doc.htm, NAICS 486100 and NAICS 486900, as of Oct. 12, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miles of pipeline (statute miles), all lines:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As cited in U.S. Department of Transportation, Bureau of Transportation Statistics, National Transportation Statistics, Table 1-10, available at https://www.bts.gov/. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Energy, Energy Information Administration, Movements between PAD Districts, available at https://www.eia.gov/petroleum/data.php as of Oct. 11, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As cited in U.S. Department of Transportation, Bureau of Transportation Statistics, National Transportation Statistics, Table 2-50, available at https://www.bts.gov/. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
