Natural Gas Pipeline Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated pipeline companies,N,N,"53,200","39,900","36,000","12,700","12,300","12,000","6,200","6,000","5,000","6,000","5,000","4,000","4,000","4,000","4,000",N,N,"3,000","4,000","3,000","4,000","4,000","4,000","4,000","3,000","3,000","4,000","5,000",U
Combination pipeline companies,N,N,"52,200","50,100","43,000","38,700","30,600","30,700","26,100","23,000","39,000","36,000","33,000","31,000","39,000","31,000","30,000",N,N,"30,000","29,000","26,000","24,000","29,000","31,000","39,000","29,000","29,000","31,000","32,000",U
Number of interstate natural gas pipeline companies g,87,89,91,132,92,84,101,97,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U
PERFORMANCE (million cubic feet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketed production, total","12,771,038","21,920,642","20,179,724","18,593,792","19,506,474","19,812,241","19,866,093","19,961,348","19,804,848","20,197,511","20,570,295","19,884,780","19,974,360","19,517,491","18,927,095","19,409,674","20,196,346","21,112,053","21,647,936","22,381,873","24,036,352","25,283,278","25,562,232","27,497,754","28,772,044","28,400,049","29,237,825","33,008,867","(R) 36,446,918","36,202,446",U
"Delivered to consumers, total","10,382,681","19,018,462","18,216,233","16,818,882","19,660,161","20,005,508","20,782,693","20,437,798","20,680,843","21,539,964","20,495,108","21,247,016","20,562,727","20,738,454","20,318,892","19,972,881","21,256,042","21,409,349","20,964,665","22,127,046","22,467,053","23,411,423","23,838,925","24,381,082","24,989,285","25,212,159","24,834,715","27,568,157","(R) 28,291,006","27,660,375",U
"Consumed, total","11,966,537","21,139,386","19,877,293","19,173,556","22,206,889","22,609,080","22,737,342","22,245,956","22,405,151","23,333,121","22,238,624","23,027,021","22,276,502","22,402,546","22,014,434","21,699,071","23,103,793","23,277,008","22,910,078","24,086,797","24,477,425","25,538,487","26,155,071","26,593,375","27,243,858","27,444,220","27,139,699","30,138,930","(R) 31,132,041","30,472,212",U
"Gas used as a pipeline fuel, total","347,075","722,166","634,622","659,816","700,335","711,446","751,470","635,477","645,319","642,210","624,964","666,920","591,492","566,187","584,026","584,213","621,364","647,956","670,174","674,124","687,784","730,790","833,061","700,150","678,183","686,732","722,049","876,535","(R) 1,018,095","1,007,107",U
SAFETY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities ,N,26,15,6,18,48,10,19,18,37,7,11,12,18,15,21,11,6,9,21,13,9,8,19,10,13,(R) 6,7,11,(R) 10,13
Injured persons,N,241,177,69,53,114,72,75,88,75,51,48,66,43,43,33,39,54,60,105,54,53,38,94,48,78,(R) 31,(R) 76,35,30,33
Incidents,N,"1,365","1,524",198,161,187,175,236,172,230,199,175,234,275,328,270,257,265,261,227,234,192,(R) 211,239,245,209,(R) 210,220,(R) 258,(R) 225,186
KEY: N = data do not exist; R = revised; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Total does not sum from components due to the omission of a line from source table for depreciation and other noncash expenses. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Figures obtained by addition / subtraction and may not appear directly in data source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Industry total includes integrated and combination company totals in addition to distribution and transmission company totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Excludes service pipeline. Data are not adjusted to common diameter equivalent. Mileage as of the end of each year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e Before 1985, data include field line mileage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
"f Number of employees in investor-owned companies is the sum of employees in distribution, transmission, integrated and combination companies. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"g Beginning in 1991 the number of interstate natural gas pipeline companies is calculated using the Federal Energy Regulatory Commission's FASTR database, which contains a listing by year of pipeline companies that are regulated and, therefore, required to pay tariff duties to the federal government. Data for the years prior to 1991 were collected from the Energy Information Administration's discontinued publication Statistics of Interstate Natural Gas Pipeline Companies. Data from the two sources may not be comparable. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to total due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas utility industry totals include employees of privately owned companies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline mileage data for 1985 and later years are obtained from the Pipeline and Hazardous Material Safety Administration and data for these years are not comparable with prior years or with numbers published in the previous NTS reports. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission pipeline companies:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70:  American Gas Association, Gas Facts, 1979 (Arlington, VA: 1980), table 134.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2020: American Gas Association, Gas Facts,  (Washington, DC: Annual Issues), table 11-2 and similar tables in earlier editions, available at https://www.aga.org/research/data/ as of Feb. 28, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution pipeline companies:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980: American Gas Association, Gas Facts, 1979 (Arlington, VA: 1980), table 134. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2020: American Gas Association,  Gas Facts,(Washington, DC: Annual Issues), table 11-1 and similar tables in earlier editions, available at https://www.aga.org/research/data/ as of Feb. 28, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investor-owned:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Gas Association, Gas Facts,(Washington, DC: Annual Issues), tables 11-1, 11-2, 11-3, and 11-4 and similar tables in earlier editions, available at https://www.aga.org/research/data/ as of Feb. 28, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline mileage:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As cited in U.S. Department of Transportation, Bureau of Transportation Statistics, National Transportation Statistics, table 1-10, available at https://www.bts.gov/. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of employees:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-80: American Gas Association, Gas Facts, 1979 (Arlington, VA: 1980), table 153.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2020: American Gas Association, Gas Facts (Washington, DC: Annual Issues), table 13-2, and similar tables in earlier editions, available at https://www.aga.org/research/data/ as of Feb. 28, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of interstate natural gas pipeline companies:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-90: U.S. Department of Energy, Energy Information Administration, Statistics of Interstate Natural Gas Pipeline Companies (Washington, DC:  Annual Issues), preface. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-98: Federal Energy Regulatory Commission, FERC Automated System for Tariff Retrieval (FASTR database).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-95: U.S. Department of Energy, Energy Information Administration, Natural Gas Annual, 1998 (Washington, DC: October 1999), table 98.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2020: U.S. Department of Energy, Energy Information Administration, Natural Gas Annual, (Washington, DC: Annual Issues), table 1, available at https://www.eia.gov/naturalgas/annual/ as of Feb. 28, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safety:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As cited in U.S. Department of Transportation, Bureau of Transportation Statistics, National Transportation Statistics, table 2-50, available at https://www.bts.gov/. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
